offered_rps,rep,achieved_rps,p50_ms,p99_ms,p999_ms,max_ms,error_rate,requests,dropped_iterations,vus_max,max_vus_configured,allowed,denied,evalsha_calls,evalsha_usec_per_call,nginx_cpu_pct,redis_cpu_pct,node_cpu_pct_max
1000,1,999.1,0.69,3.76,49.73,69.53,0,19991,10,48,4000,3056,16935,19991,25.02,9.7,7.2,8.8
1000,2,994.5,0.66,3.25,56.1,68.66,0,19891,110,50,4000,3069,16822,19891,24.25,9.3,7.1,8.3
1000,3,1000.0,0.64,1.75,2.34,4.37,0,20000,0,1,4000,3055,16945,20000,27.02,8.5,7.2,7.5
2000,1,1996.5,0.59,10.74,52.7,66.29,0,39926,75,48,4000,3102,36824,39926,21.28,18.0,11.9,18.7
2000,2,1996.9,0.58,6.87,53.56,66.8,0,39931,69,3,4000,3087,36844,39931,21.54,26.8,12.7,17.2
2000,3,1999.0,0.58,1.79,40.28,63.87,0,39980,21,2,4000,3088,36892,39980,21.17,16.6,11.1,14.5
5000,1,4973.4,0.79,29.81,71.57,138.56,0,99472,529,147,10000,3078,96394,99472,24.97,70.0,40.3,62.0
5000,2,4991.0,0.7,4.59,59.44,100.66,0,99825,176,7,10000,3065,96760,99825,22.59,62.8,36.4,47.5
5000,3,4993.3,0.75,4.28,51.51,81.21,0,99871,129,8,10000,3125,96746,99871,24.20,63.4,36.8,45.9
8000,1,7992.9,1.14,8.08,39.69,58.02,0,159870,131,11,16000,3097,156773,159870,25.86,108.2,55.5,69.1
8000,2,7983.5,1.18,10.96,55.97,77.22,0,159678,322,81,16000,3101,156577,159678,26.39,114.1,55.0,68.9
8000,3,7997.9,1.15,8.26,20.8,31.99,0,159972,30,22,16000,3098,156874,159972,25.96,108.0,55.6,69.4
10000,1,9957.8,2.01,32.0,82.48,107.51,0,199172,829,55,20000,3133,196039,199172,27.48,150.8,65.8,71.8
10000,2,9942.1,1.93,43.66,87.42,107.81,0,198859,1142,100,20000,3085,195774,198859,27.53,128.8,62.8,72.1
10000,3,9968.6,2.06,32.34,64.9,100.57,0,199388,613,93,20000,3118,196270,199388,27.21,127.0,62.0,72.0
12000,1,11868.1,5.61,70.46,115.92,181.53,0,237433,2569,419,24000,3087,234346,237433,24.96,157.4,63.4,73.5
12000,2,11889.7,4.99,61.11,96.16,123.05,0,238235,1767,255,24000,3107,235128,238235,25.26,128.0,65.5,74.1
12000,3,11914.9,4.9,56.65,79.31,117.31,0,238349,1654,372,24000,3130,235219,238349,25.36,168.6,66.9,77.3
14000,1,13809.1,11.45,78.37,133.52,218.79,0,276219,3784,450,28000,3102,273117,276219,23.38,234.4,70.2,106.5
14000,2,13835.5,11.73,74.92,141.65,186.13,0,276846,3157,628,28000,3091,273755,276846,23.41,168.4,65.4,81.7
14000,3,13853.3,10.01,63.01,135.95,171.54,0,277117,2886,475,28000,3087,274030,277117,22.73,169.8,67.3,80.5
16000,1,12579.7,83.73,702.84,1013.8,5411.02,0,285032,34968,5587,32000,3107,281925,285032,28.74,298.4,104.7,144.3
16000,2,12913.3,88.11,450.67,697.24,3586.65,0,298373,21628,3340,32000,3092,295281,298373,27.05,180.1,112.7,109.5
16000,3,10447.9,121.26,738.64,1502.74,11953.46,0,285520,34481,5411,32000,3156,282364,285520,30.26,230.6,106.5,199.8
18000,1,1488.1,547.91,16427.37,18692.76,24822.24,0.15675,67248,292742,11107,36000,11615,45092,49073,52.94,682.8,163.4,161.3
18000,2,3521.3,114.93,13330.84,13691.09,15672.96,0.10153,110371,249026,5622,36000,2852,96313,99165,33.01,160.2,57.8,161.0
18000,3,3904.5,235.54,9238.16,10331.25,22728.6,0.03719,153766,205619,11405,36000,12414,135634,138962,47.08,296.1,121.2,124.5
